datazone,retailer_count,total_population,simd_decile,simd_rank,simd_quintile,income_rank,health_rank,employment_rank,education_rank,access_rank,crime_rank,housing_rank,alcohol_admissions,drug_admissions,smoking_rate,urban_rural,retailers_adj,income_quintile,access_quintile,urban_rural_2cat
S01007888,18,1000,2,970,1,1178,1193,1423,289,1681,2725,3191,72,121,33.33,Accessible Small Towns,18,Most deprived,Second,Urban
S01007889,12,488,3,1773,2,2099,1710,1859,1222,2643,1973,2420,86,35,50,Accessible Small Towns,24.59016393442623,Second,Second,Urban
S01007890,15,745,4,2730,2,3058.5,2689,3032,2492,936,5792,4560,30,41,33.33,Accessible Small Towns,20.13422818791946,Third,Most deprived,Urban
S01007891,23,891,5,2955,3,3354,2569,3240,2897,1089,4882,3906,33,54,6.45,Accessible Small Towns,25.813692480359148,Third,Most deprived,Urban
S01007892,28,678,6,3898,3,4013,3083,3661,2960,3958,3735,5028,52,73,26.67,Accessible Small Towns,41.29793510324484,Third,Third,Urban
S01007893,31,999,9,6031,5,5500.5,4185,5453,5256,5864,5720,5779,17,33,0,Accessible Small Towns,31.03103103103103,Fourth,Least deprived,Urban
S01007894,24,845,5,2979,3,2564,2687,2876,2640,5541,3359,3260.5,55,37,11.54,Accessible Small Towns,28.402366863905325,Second,Fourth,Urban
S01007895,28,630,6,4119,3,3768,2871,3840,4070,5404,3042,4162,42,206,0,Accessible Small Towns,44.44444444444444,Third,Fourth,Urban
S01007896,26,820,2,1135,1,1540,474,1268,969,2933,3266,1570,211,555,15.79,Accessible Small Towns,31.70731707317073,Second,Third,Urban
S01007897,35,467,6,3676,3,4159,4472,4345,4767,395,2028,5512,37,36,0,Remote Rural,74.94646680942184,Third,Most deprived,Rural
S01007898,25,444,7,4311,4,4584,4322,5035,4374,891,2483,5560,31,0,0,Remote Rural,56.306306306306304,Fourth,Most deprived,Rural
S01007899,28,368,6,3803,3,4518.5,4683,3866,4477,363,5484,4633,18,0,20,Remote Rural,76.08695652173914,Fourth,Most deprived,Rural
S01007900,9,550,2,764,1,653,1153,1368,95,3799,3943,2232,98,127,28.57,Remote Rural,16.363636363636363,Most deprived,Third,Rural
S01007901,20,669,2,1216,1,1215,1497,1039,1520,1640,2490,3745,93,93,34.78,Remote Rural,29.895366218236173,Most deprived,Second,Rural
S01007902,27,805,1,291,1,370,910,283,137,883,5110,3234,57,115,26.92,Remote Rural,33.54037267080745,Most deprived,Most deprived,Rural
S01007903,31,600,2,1239,1,1677.5,1671,596,2455,1488,2519,3517,103,503,10,Remote Rural,51.666666666666664,Second,Second,Rural
S01007904,57,837,6,3941,3,4237,4235,4174.5,5144,588,3877,4447,24,19,0,Accessible Rural,68.10035842293907,Fourth,Most deprived,Rural
S01007905,26,603,1,585,1,419,776,803,513,3633,1402,2245,86,154,48.39,Remote Rural,43.117744610281925,Most deprived,Third,Rural
S01007906,28,657,1,687,1,582,361,750,1026,6487,1175,4226,278,402,41.18,Remote Rural,42.6179604261796,Most deprived,Least deprived,Rural
S01007907,20,515,3,1813,2,1163,1011,2195,2424,5379,4067,4126.5,67,67,20,Remote Rural,38.83495145631068,Most deprived,Fourth,Rural
S01007908,37,900,5,3179,3,3231,2096,2937,2844,6026,3212,3781,59,38,10,Remote Rural,41.111111111111114,Third,Least deprived,Rural
S01007909,12,500,4,2454,2,2173,2808,2792,2928,1485,3993,2137,56,62,31.25,Remote Small Towns,24,Second,Second,Urban
S01007910,22,839,2,910,1,695,1593,829,774,3859,3164,3260.5,65,139,55.17,Remote Small Towns,26.221692491060782,Most deprived,Third,Urban
S01007911,32,786,4,2126,2,1817,2134,1990.5,2254,4056,2401,4894,93,100,10.34,Remote Small Towns,40.712468193384225,Second,Third,Urban
S01007912,14,689,3,2072,2,2893,1397,1228,2383,4051,4524,4541,147,417,10.53,Remote Small Towns,20.319303338171263,Third,Third,Urban
S01007913,15,605,1,631,1,333,622,696,1089,5868,2235,2808,141,298,41.18,Remote Small Towns,24.793388429752067,Most deprived,Least deprived,Urban
